Store,Dept,IsHoliday,Predictions
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,True,15526.249413601228
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,True,15526.249413601228
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,True,15526.249413601228
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,1,False,14408.40727710645
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,True,15638.085980731985
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,True,15638.085980731985
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,True,15638.085980731985
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,2,False,14520.243844237206
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,True,15749.922547862741
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,True,15749.922547862741
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,True,15749.922547862741
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,3,False,14632.080411367962
1,4,False,14743.916978498719
1,4,False,14743.916978498719
1,4,False,14743.916978498719
1,4,True,15861.759114993498
1,4,False,14743.916978498719
1,4,False,14743.916978498719
1,4,False,14743.916978498719
1,4,False,14743.916978498719
1,4,True,15861.759114993498
1,4,False,14743.916978498719
